"name","adp","value1","pos"
"James Starks",160,-114.257575757576,"RB"
"Alex Green",160,-114.357575757576,"RB"
"Jamie Harper",160,-114.757575757576,"RB"
"Cedric Peerman",160,-115.257575757576,"RB"
"Leon Washington",160,-115.457575757576,"RB"
"Will Johnson",160,-115.757575757576,"RB"
"Bernard Scott",160,-115.957575757576,"RB"
"Taiwan Jones",160,-117.157575757576,"RB"
"Anthony Dixon",160,-117.257575757576,"RB"
"Lance Ball",160,-117.657575757576,"RB"
"Michael Robinson",160,-118.457575757576,"RB"
"Jacob Hester",160,-118.557575757576,"RB"
"Montell Owens",160,-118.757575757576,"RB"
"Tashard Choice",160,-119.257575757576,"RB"
"Keiland Williams",160,-119.757575757576,"RB"
"Jed Collins",160,-119.857575757576,"RB"
"Damien Berry",160,-120.057575757576,"RB"
"Orson Charles",160,-120.157575757576,"RB"
"Danny Ware",160,-120.457575757576,"RB"
"Da'Rel Scott",160,-120.557575757576,"RB"
"Darrel Young",160,-121.857575757576,"RB"
"Le'Ron McClain",160,-121.957575757576,"RB"
"Baron Batch",160,-122.457575757576,"RB"
"Ryan Torain",160,-123.457575757576,"RB"
"Rex Burkhead",160,-123.957575757576,"RB"
"Travaris Cadet",160,-124.857575757576,"RB"
"Henry Hynoski",160,-125.457575757576,"RB"
"Evan Rodriguez",160,-125.557575757576,"RB"
"Chris Thompson",160,-125.657575757576,"RB"
"Ryan D'Imperio",160,-125.757575757576,"RB"
"Jeremy Stewart",160,-125.957575757576,"RB"
"Stanley Havili",160,-126.157575757576,"RB"
"Miguel Maysonet",160,-126.457575757576,"RB"
"Cyrus Gray",160,-126.457575757576,"RB"
"Jerome Felton",160,-126.657575757576,"RB"
"Benny Cunningham",160,-126.657575757576,"RB"
"Dorin Dickerson",160,-126.757575757576,"RB"
"Anthony Allen",160,-126.757575757576,"RB"
"Cierre Wood",160,-126.857575757576,"RB"
"Matthew Tucker",160,-126.857575757576,"RB"
"Michael Cox",160,-127.457575757576,"RB"
"Chad Spann",160,-127.557575757576,"RB"
"Bruce Miller",160,-127.757575757576,"RB"
"Darius Reynaud",160,-127.757575757576,"RB"
"Jordan Todman",160,-127.857575757576,"RB"
"Harvey Unga",160,-127.857575757576,"RB"
"Tristan Davis",160,-128.257575757576,"RB"
"Chris Pressley",160,-128.457575757576,"RB"
"Kerwynn Williams",160,-128.757575757576,"RB"
"Shaun Chapas",160,-128.957575757576,"RB"
"Matt Asiata",160,-129.057575757576,"RB"
"Owen Marecic",160,-129.057575757576,"RB"
"Quinn Johnson",160,-129.057575757576,"RB"
"Lawrence Vickers",160,-129.057575757576,"RB"
"Tommy Bohanon",160,-129.357575757576,"RB"
"Michael Smith",160,-129.357575757576,"RB"
"Jackie Battle",160,-129.357575757576,"RB"
"Antone Smith",160,-129.357575757576,"RB"
"Marcus Thigpen",160,-129.857575757576,"RB"
"Lex Hilliard",160,-130.057575757576,"RB"
"David Johnson",160,-130.057575757576,"RB"
"John Griffin",160,-130.257575757576,"RB"
"Dan Herron",160,-130.257575757576,"RB"
"Theo Riddick",160,-130.257575757576,"RB"
"Anthony Sherman",160,-130.457575757576,"RB"
"Jalen Parmele",160,-130.457575757576,"RB"
"Bradie Ewing",160,-131.157575757576,"RB"
"Erik Lorig",160,-131.257575757576,"RB"
"James Develin",160,-131.357575757576,"RB"
"Tony Fiammetta",160,-131.457575757576,"RB"
"Mike Cox",160,-131.957575757576,"RB"
"Jamie McCoy",160,-132.157575757576,"RB"
"Kyle Juszczyk",160,-132.257575757576,"RB"
"Tyler Clutts",160,-132.257575757576,"RB"
"Terrance Ganaway",160,-132.357575757576,"RB"
"Will Ta'ufo'ou",160,-132.357575757576,"RB"
"John Conner",160,-132.457575757576,"RB"
"Stefan Logan",160,-132.757575757576,"RB"
"Chris Gronkowski",160,-132.957575757576,"RB"
"Brit Miller",160,-133.057575757576,"RB"
"Nate Eachus",160,-133.057575757576,"RB"
"Armond Smith",160,-133.157575757576,"RB"
"Corey McIntyre",160,-133.257575757576,"RB"
"Manase Tonga",160,-133.357575757576,"RB"
"Reagan Maui'a",160,-133.457575757576,"RB"
"Brock Bolen",160,-133.557575757576,"RB"
"Thomas Clayton",160,-133.657575757576,"RB"
"Eddie Williams",160,-133.757575757576,"RB"
"Robert Hughes",160,-133.857575757576,"RB"
"Moran Norris",160,-133.857575757576,"RB"
"Josh Vaughan",160,-133.957575757576,"RB"
"Allen Bradford",160,-133.957575757576,"RB"
"Davin Meggett",160,-134.357575757576,"RB"
"Steven Miller",160,-134.357575757576,"RB"
"Mossis Madu",160,-134.357575757576,"RB"
"Jewel Hampton",160,-134.357575757576,"RB"
"Kahlil Bell",160,-134.357575757576,"RB"
"Alfonso Smith",160,-134.357575757576,"RB"
"Jordan Roberts",160,-134.357575757576,"RB"
"Edwin Baker",160,-134.357575757576,"RB"
"Ray Graham",160,-134.357575757576,"RB"
"Curtis Brinkley",160,-134.357575757576,"RB"
"Jawan Jamison",160,-134.357575757576,"RB"
"Tauren Poole",160,-134.357575757576,"RB"
"Marcus Lattimore",160,-134.357575757576,"RB"
"Jeff Demps",160,-134.357575757576,"RB"
"Khiry Robinson",160,-134.357575757576,"RB"
"Jonathan Grimes",160,-134.357575757576,"RB"
"Bobby Rainey",160,-134.357575757576,"RB"
"C.J. Anderson",160,-134.357575757576,"RB"
"Deji Karim",160,-134.357575757576,"RB"
"D.J. Harper",160,-134.357575757576,"RB"
"Michael Ford",160,-134.357575757576,"RB"
"Ronnie Wingo",160,-134.357575757576,"RB"
"Michael Hill",160,-134.357575757576,"RB"
"Jeremiah Johnson",160,-134.357575757576,"RB"
"Dominique Whaley",160,-134.357575757576,"RB"
"Marcedes Lewis",160,-33.6266666666667,"TE"
"Robert Housler",160,-37.1266666666667,"TE"
"Zach Miller",160,-38.1266666666667,"TE"
"Dwayne Allen",160,-39.5266666666667,"TE"
"Heath Miller",160,-41.8266666666667,"TE"
"Scott Chandler",160,-48.4266666666667,"TE"
"Delanie Walker",160,-48.9266666666667,"TE"
"Brent Celek",160,-50.6266666666667,"TE"
"James Casey",160,-56.5266666666667,"TE"
"Dallas Clark",160,-57.8266666666667,"TE"
"Kellen Winslow",160,-58.4266666666667,"TE"
"Tony Scheffler",160,-61.0266666666667,"TE"
"Travis Kelce",160,-63.0266666666667,"TE"
"Zach Ertz",160,-63.8266666666667,"TE"
"Anthony Fasano",160,-64.0266666666667,"TE"
"Joel Dreessen",160,-65.8266666666667,"TE"
"Luke Stocker",160,-66.1266666666667,"TE"
"David Ausberry",160,-66.3266666666667,"TE"
"Jacob Tamme",160,-67.1266666666667,"TE"
"Jeff Cumberland",160,-67.3266666666667,"TE"
"Garrett Graham",160,-68.9266666666667,"TE"
"Tony Moeaki",160,-73.0266666666667,"TE"
"Dustin Keller",160,-74.3266666666667,"TE"
"Tom Crabtree",160,-79.7266666666667,"TE"
"Charles Clay",160,-79.8266666666667,"TE"
"Benjamin Watson",160,-79.9266666666667,"TE"
"Lance Kendricks",160,-80.0266666666667,"TE"
"Vance McDonald",160,-80.4266666666667,"TE"
"David Thomas",160,-86.0266666666667,"TE"
"David Paulson",160,-88.0266666666667,"TE"
"Dion Sims",160,-88.0266666666667,"TE"
"Jake Ballard",160,-88.5266666666667,"TE"
"Luke Willson",160,-89.1266666666667,"TE"
"Gavin Escobar",160,-89.4266666666667,"TE"
"Craig Stevens",160,-90.3266666666667,"TE"
"Jeff King",160,-90.5266666666667,"TE"
"Mychal Rivera",160,-91.3266666666667,"TE"
"Logan Paulsen",160,-92.7266666666667,"TE"
"John Phillips",160,-93.6266666666667,"TE"
"D.J. Williams",160,-93.9266666666667,"TE"
"John Carlson",160,-94.3266666666667,"TE"
"Matt Spaeth",160,-94.8266666666667,"TE"
"Ladarius Green",160,-95.2266666666667,"TE"
"Jordan Reed",160,-96.0266666666667,"TE"
"Lee Smith",160,-96.5266666666667,"TE"
"Taylor Thompson",160,-96.8266666666667,"TE"
"Kellen Davis",160,-97.1266666666667,"TE"
"Michael Egnew",160,-97.3266666666667,"TE"
"Andrew Quarless",160,-97.4266666666667,"TE"
"Richard Gordon",160,-97.5266666666667,"TE"
"Adrien Robinson",160,-97.7266666666667,"TE"
"Virgil Green",160,-98.6266666666667,"TE"
"Anthony McCoy",160,-99.5266666666667,"TE"
"Gary Barnidge",160,-99.7266666666667,"TE"
"James Hanna",160,-100.026666666667,"TE"
"Clay Harbor",160,-100.326666666667,"TE"
"Matthew Mulligan",160,-100.826666666667,"TE"
"Garrett Celek",160,-100.826666666667,"TE"
"Jeron Mastrud",160,-100.826666666667,"TE"
"Nick Kasa",160,-100.926666666667,"TE"
"Michael Williams",160,-101.226666666667,"TE"
"Allen Reisner",160,-101.526666666667,"TE"
"Visanthe Shiancoe",160,-101.626666666667,"TE"
"Chase Coffman",160,-101.926666666667,"TE"
"Michael Higgins",160,-102.126666666667,"TE"
"Michael Palmer",160,-102.626666666667,"TE"
"Evan Moore",160,-102.726666666667,"TE"
"Niles Paul",160,-103.526666666667,"TE"
"Michael Hoomanawanui",160,-103.626666666667,"TE"
"Konrad Reuland",160,-104.026666666667,"TE"
"Dante Rosario",160,-104.126666666667,"TE"
"Bear Pascoe",160,-104.726666666667,"TE"
"Steve Maneri",160,-104.826666666667,"TE"
"Justice Cunningham",160,-105.926666666667,"TE"
"Alex Smith",160,-106.326666666667,"TE"
"Sean McGrath",160,-106.426666666667,"TE"
"Hayden Smith",160,-106.426666666667,"TE"
"Ryan Griffin",160,-106.426666666667,"TE"
"Levine Toilolo",160,-106.626666666667,"TE"
"Billy Bajema",160,-106.726666666667,"TE"
"Brett Brackett",160,-106.726666666667,"TE"
"Weslye Saunders",160,-106.926666666667,"TE"
"Rhett Ellison",160,-106.926666666667,"TE"
"Daniel Fells",160,-107.026666666667,"TE"
"Jamie McCoy",160,-107.226666666667,"TE"
"Chris Gragg",160,-107.626666666667,"TE"
"David Johnson",160,-107.726666666667,"TE"
"Zach Miller",160,-107.826666666667,"TE"
"D.C. Jefferson",160,-108.026666666667,"TE"
"Ben Hartsock",160,-108.726666666667,"TE"
"Evan Rodriguez",160,-108.826666666667,"TE"
"Dorin Dickerson",160,-108.826666666667,"TE"
"Richie Brockel",160,-109.126666666667,"TE"
"Kyle Adams",160,-109.626666666667,"TE"
"Mike McNeill",160,-109.726666666667,"TE"
"Ryan Otten",160,-109.826666666667,"TE"
"Nate Byham",160,-110.326666666667,"TE"
"Brody Eldridge",160,-110.626666666667,"TE"
"Jim Dray",160,-110.926666666667,"TE"
"Aaron Hernandez",160,-111.126666666667,"TE"
"Ryan Taylor",160,-111.326666666667,"TE"
"Kory Sperry",160,-111.526666666667,"TE"
"Colin Cochart",160,-112.126666666667,"TE"
"Dan Gronkowski",160,-112.226666666667,"TE"
"Mike Caussin",160,-112.226666666667,"TE"
"Zack Pianalto",160,-112.226666666667,"TE"
"Mickey Shuler",160,-112.426666666667,"TE"
"Kevin Brock",160,-112.526666666667,"TE"
"Tommy Gallarda",160,-112.626666666667,"TE"
"Fendi Onobun",160,-112.826666666667,"TE"
"Isaiah Stanback",160,-112.826666666667,"TE"
"Brad Smelley",160,-112.926666666667,"TE"
"Joseph Fauria",160,-113.126666666667,"TE"
"MarQueis Gray",160,-113.126666666667,"TE"
"Dennis Pitta",160,-113.126666666667,"TE"
"Jake Stoneburner",160,-113.126666666667,"TE"
"Brandon Williams",160,-113.126666666667,"TE"
"Kyle Miller",160,-113.126666666667,"TE"
"Derek Carrier",160,-113.126666666667,"TE"
"Colin Cloherty",160,-113.126666666667,"TE"
"Dominique Curry",160,-113.126666666667,"TE"
"Philip Lutzenkirchen",160,-113.126666666667,"TE"
"Danny Noble",160,-113.126666666667,"TE"
"Deangelo Peterson",160,-113.126666666667,"TE"
"Dominique Jones",160,-113.126666666667,"TE"
"Gabe Miller",160,-113.126666666667,"TE"
"Zach Potter",160,-113.126666666667,"TE"
"Andre Smith",160,-113.126666666667,"TE"
"Brandon Bostick",160,-113.126666666667,"TE"
"Matt Furstenburg",160,-113.126666666667,"TE"
"Jake O'Connell",160,-113.126666666667,"TE"
"Cameron Morrah",160,-113.126666666667,"TE"
"Brandon Barden",160,-113.126666666667,"TE"
"Richard Quinn",160,-113.126666666667,"TE"
"Demetrius Harris",160,-113.126666666667,"TE"
"Cory Harkey",160,-113.126666666667,"TE"
"Alex Silvestro",160,-113.126666666667,"TE"
"Leonard Pope",160,-113.126666666667,"TE"
"Brandon LaFell",160,-30.0121212121212,"WR"
"Greg Little",160,-33.0121212121212,"WR"
"Rod Streater",160,-37.7121212121212,"WR"
"Mohamed Sanu",160,-43.5121212121212,"WR"
"Nate Burleson",160,-50.2121212121212,"WR"
"Robert Woods",160,-51.2121212121212,"WR"
"Jeremy Kerley",160,-51.9121212121212,"WR"
"Cordarrelle Patterson",160,-53.6121212121212,"WR"
"Stephen Hill",160,-54.9121212121212,"WR"
"Donnie Avery",160,-55.7121212121212,"WR"
"Santonio Holmes",160,-57.0121212121212,"WR"
"Brandon Gibson",160,-58.0121212121212,"WR"
"Davone Bess",160,-60.4121212121212,"WR"
"Riley Cooper",160,-62.1121212121212,"WR"
"Josh Morgan",160,-62.4121212121212,"WR"
