"","Player","POS","FL","FPTS","REC.RECEIVING","YDS.RECEIVING","TDS.RECEIVING","ATT.RUSHING","YDS.RUSHING","TDS.RUSHING","ATT.PASSING","CMP.PASSING","YDS.PASSING","TDS.PASSING","INTS.PASSING","Rank.ADP","Yahoo.ADP","ESPN.ADP","CBS.ADP","FFC.ADP","NFL.ADP","AVG.ADP"
"Miami Dolphins Defense DST","Miami Dolphins Defense","DST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,177,NA,236,NA,NA,206.5
"Michael Campanaro (BAL) WR","Michael Campanaro (BAL)","WR",0,7.4,6,73.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Cox (NYG) RB","Michael Cox (NYG)","RB",0,5.3,2.5,19.5,0,7.5,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Crabtree (SF) WR","Michael Crabtree (SF)","WR",1,159.9,80.9,1150.5,7.7,0.5,6,0,NA,NA,NA,NA,NA,46,48,53,37,49,47,46.8
"Michael Egnew (MIA) TE","Michael Egnew (MIA)","TE",0,9.2,8.3,91.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Floyd (ARI) WR","Michael Floyd (ARI)","WR",0,151.1,76.8,1115.4,6.6,0,0,0,NA,NA,NA,NA,NA,58,49,71,61,53,75,61.8
"Michael Ford (CHI) RB","Michael Ford (CHI)","RB",0,15.1,2.3,21,0,18.8,84.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Hoomanawanui (NE) TE","Michael Hoomanawanui (NE)","TE",0,17,11.9,139.6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Palmer (PIT) TE","Michael Palmer (PIT)","TE",0,3.6,4,35.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Preston (TEN) WR","Michael Preston (TEN)","WR",0,6.1,5.5,60.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Vick (NYJ) QB","Michael Vick (NYJ)","QB",1.5,76.8,NA,NA,NA,29.5,166.5,1.3,146.6,86.6,999,6.1,4.5,192,139,NA,NA,NA,182,160.5
"Mickey Shuler (ATL) TE","Mickey Shuler (ATL)","TE",0,4.9,4.5,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miguel Maysonet (PIT) RB","Miguel Maysonet (PIT)","RB",0,3.2,0.8,3,0,6.8,28.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mike Brown (JAC) WR","Mike Brown (JAC)","WR",0,39,24,330,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mike Evans (TB) WR","Mike Evans (TB)","WR",0.5,109.2,50.9,754.1,5.8,0,0,0,NA,NA,NA,NA,NA,118,116,118,111,114,135,118.8
"Mike Gillislee (MIA) RB","Mike Gillislee (MIA)","RB",0,11.1,2.2,16.1,0,23,95.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mike Glennon (TB) QB","Mike Glennon (TB)","QB",1,33.2,NA,NA,NA,10,25.8,0,85.2,51.1,600.7,4,3.7,NA,NA,NA,NA,NA,NA,NA
"Mike James (TB) RB","Mike James (TB)","RB",0.5,39.8,9.8,67.4,0,59.3,262.1,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mike McNeill (CAR) TE","Mike McNeill (CAR)","TE",0,4,3,39.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mike Nugent (CIN) K","Mike Nugent (CIN)","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253,NA,NA,241,NA,NA,241
"Mike Thomas (HOU) WR","Mike Thomas (HOU)","WR",0,18.8,12.8,143.3,0.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mike Tolbert (CAR) RB","Mike Tolbert (CAR)","RB",0,74.6,24.5,162.6,1,80,300.9,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mike Wallace (MIA) WR","Mike Wallace (MIA)","WR",0.5,134.5,71.6,986.3,5.5,4.5,38.5,0,NA,NA,NA,NA,NA,78,78,88,81,77,87,82.2
"Mike Williams (BUF) WR","Mike Williams (BUF)","WR",0.5,75.2,42.6,581.5,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mikel Leshoure (DET) RB","Mikel Leshoure (DET)","RB",0.8,17.6,6.1,45.5,0,22.8,100.3,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miles Austin (CLE) WR","Miles Austin (CLE)","WR",0.5,69.8,41.9,540.3,2.8,0,0,0,NA,NA,NA,NA,NA,194,170,NA,215,165,192,185.5
"Minnesota Vikings Defense DST","Minnesota Vikings Defense","DST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,NA,NA,218,NA,NA,218
"Mohamed Sanu (CIN) WR","Mohamed Sanu (CIN)","WR",0,78.3,47.8,582.9,3.1,3,14.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montee Ball (DEN) RB","Montee Ball (DEN)","RB",2.5,207.7,45.2,325,1.5,247.5,1124.1,9.8,NA,NA,NA,NA,NA,16,13,24,13,13,14,15.4
"Mychal Rivera (OAK) TE","Mychal Rivera (OAK)","TE",0,67.8,41.4,461.9,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myles White (GB) WR","Myles White (GB)","WR",0,17.5,10.6,137.9,0.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Naaman Roosevelt (BUF) WR","Naaman Roosevelt (BUF)","WR",0,8.3,6,83.3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nate Burleson (CLE) WR","Nate Burleson (CLE)","WR",0,53.9,31.5,384,2.5,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nate Washington (TEN) WR","Nate Washington (TEN)","WR",0.5,76,40.5,584.3,3.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New England Patriots Defense DST","New England Patriots Defense","DST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,92,131,115,137,85,112
"New Orleans Saints Defense DST","New Orleans Saints Defense","DST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,140,160,187,179,163,165.8
"New York Giants Defense DST","New York Giants Defense","DST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,159,NA,240,NA,189,196
"New York Jets Defense DST","New York Jets Defense","DST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,NA,NA,226,NA,184,205
"Nick Foles (PHI) QB","Nick Foles (PHI)","QB",3,296.6,NA,NA,NA,63.4,240.2,2.1,537.1,346.3,4330.3,29.3,12.2,56,62,54,54,73,59,60.4
"Nick Folk (NYJ) K","Nick Folk (NYJ)","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,NA,194,238,NA,196,209.3
"Nick Kasa (OAK) TE","Nick Kasa (OAK)","TE",0,12.3,8.5,93,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nick Novak (SD) K","Nick Novak (SD)","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,169,180,203,NA,114,166.5
"Nick Toon (NO) WR","Nick Toon (NO)","WR",0,18.1,9.3,150.8,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nick Williams (PIT) WR","Nick Williams (PIT)","WR",0,7.3,6,72.8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Niles Paul (WAS) TE","Niles Paul (WAS)","TE",0,5.7,6,57,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Odell Beckham Jr. (NYG) WR","Odell Beckham Jr. (NYG)","WR",0.5,82.2,39.4,585.6,3.8,3,18,0,NA,NA,NA,NA,NA,238,NA,NA,194,NA,200,197
"Orson Charles (CIN) RB","Orson Charles (CIN)","RB",0,9.6,3,40.5,0,2.3,10.5,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Owen Daniels (BAL) TE","Owen Daniels (BAL)","TE",0,49.9,30.9,348.7,2.5,NA,NA,NA,NA,NA,NA,NA,NA,203,144,NA,NA,NA,NA,144
"Pat Edwards (DET) WR","Pat Edwards (DET)","WR",0,4,3,39.8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Patrick DiMarco (ATL) RB","Patrick DiMarco (ATL)","RB",0,6.3,8,51,0,3,11.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paul Richardson (SEA) WR","Paul Richardson (SEA)","WR",0,59.2,23,441.5,2.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Percy Harvin (SEA) WR","Percy Harvin (SEA)","WR",0.5,143.7,74.7,908.4,6.1,20.5,113,1,NA,NA,NA,NA,NA,52,43,49,62,54,56,52.8
"Peyton Hillis (NYG) RB","Peyton Hillis (NYG)","RB",0.5,32.2,10.9,77,0,49.6,188.5,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peyton Manning (DEN) QB","Peyton Manning (DEN)","QB",3,363.4,NA,NA,NA,22.5,-2.6,0,637.3,431.5,5270.7,45.7,12,7,11,4,3,7,8,6.6
"Phil Dawson (SF) K","Phil Dawson (SF)","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,91,162,128,182,91,130.8
"Philadelphia Eagles Defense DST","Philadelphia Eagles Defense","DST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,174,NA,228,NA,183,195
"Philip Rivers (SD) QB","Philip Rivers (SD)","QB",3.5,266.3,NA,NA,NA,27.7,52.7,0,558.7,371.6,4470.1,29.1,13.6,104,110,99,95,111,108,104.6
"Pierre Garcon (WAS) WR","Pierre Garcon (WAS)","WR",0,152.9,86,1153,6.1,1,9.5,0,NA,NA,NA,NA,NA,39,39,41,45,39,39,40.6
"Pierre Thomas (NO) RB","Pierre Thomas (NO)","RB",1,135.2,64.7,449.5,3.3,138,562.4,2.7,NA,NA,NA,NA,NA,92,115,89,78,76,107,93
"Pittsburgh Steelers Defense DST","Pittsburgh Steelers Defense","DST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,137,165,180,NA,162,161
"Quinton Patton (SF) WR","Quinton Patton (SF)","WR",0.5,28.2,18,232,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Randall Cobb (GB) WR","Randall Cobb (GB)","WR",1,173.4,86.5,1179.1,8,8.5,94.5,0,NA,NA,NA,NA,NA,28,29,30,31,27,30,29.4
"Rashad Jennings (NYG) RB","Rashad Jennings (NYG)","RB",2.5,162.5,38.2,288.8,1,216.4,948,6.3,NA,NA,NA,NA,NA,49,55,58,58,35,44,50
"Ray Rice (BAL) RB","Ray Rice (BAL)","RB",2,162.2,46.1,360,1.5,197.3,869.6,5.7,NA,NA,NA,NA,NA,67,103,57,56,51,70,67.4
"Reggie Bush (DET) RB","Reggie Bush (DET)","RB",2.5,164.6,48.4,430,2.8,185.5,863.5,3.9,NA,NA,NA,NA,NA,32,58,28,34,32,23,35
"Reggie Wayne (IND) WR","Reggie Wayne (IND)","WR",0,123.7,74.1,936.7,5,0,0,0,NA,NA,NA,NA,NA,90,100,77,97,84,102,92
"Rhett Ellison (MIN) TE","Rhett Ellison (MIN)","TE",0,18,13,150,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ricardo Lockette (SEA) WR","Ricardo Lockette (SEA)","WR",0,20.3,13,173,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Richard Gordon (KC) TE","Richard Gordon (KC)","TE",0,2.3,2.3,23.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Richard Rodgers (GB) TE","Richard Rodgers (GB)","TE",0,16.8,10,107.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Richie Brockel (CAR) TE","Richie Brockel (CAR)","TE",0,1.1,2.3,10.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Riley Cooper (PHI) WR","Riley Cooper (PHI)","WR",0.5,108.8,51.6,779.5,5.3,0,0,0,NA,NA,NA,NA,NA,111,123,105,116,104,115,112.6
"Rishard Matthews (MIA) WR","Rishard Matthews (MIA)","WR",0,22.1,14.4,175.6,0.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rob Gronkowski (NE) TE","Rob Gronkowski (NE)","TE",0,149.5,68.6,924.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,31,42,33,32,30,28,33
"Robbie Gould (CHI) K","Robbie Gould (CHI)","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,NA,187,198,186,148,179.8
"Robert Griffin III (WAS) QB","Robert Griffin III (WAS)","QB",2.5,285.1,NA,NA,NA,88.9,493.4,4.3,462.9,285.7,3613.8,23.3,11.4,65,57,61,82,82,53,67
"Robert Herron (TB) WR","Robert Herron (TB)","WR",0,34.7,19,286.5,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robert Housler (ARI) TE","Robert Housler (ARI)","TE",0,28.2,18.5,210.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robert Hughes (ARI) RB","Robert Hughes (ARI)","RB",0,2.7,2.3,14.3,0,3.8,12.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robert Meachem (NO) WR","Robert Meachem (NO)","WR",0,34.5,13.5,255,1.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robert Turbin (SEA) RB","Robert Turbin (SEA)","RB",0.5,55.7,12.9,108.5,0,75.5,332.2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robert Woods (BUF) WR","Robert Woods (BUF)","WR",0.5,87.9,49.6,663,3.5,2,16,0,NA,NA,NA,NA,NA,252,NA,NA,237,NA,NA,237
"Rod Streater (OAK) WR","Rod Streater (OAK)","WR",1,93,51.4,695.6,4.1,1,8.5,0,NA,NA,NA,NA,NA,236,NA,NA,190,NA,NA,190
"Roddy White (ATL) WR","Roddy White (ATL)","WR",0.5,152.1,85.6,1092.7,7.3,0,0,0,NA,NA,NA,NA,NA,43,35,48,48,40,51,44.4
"Rodney Smith (MIN) WR","Rodney Smith (MIN)","WR",0,10,6.8,99.8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ronnie Brown RB","Ronnie Brown","RB",0,30.4,18,128,1,33,116,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ronnie Hillman (DEN) RB","Ronnie Hillman (DEN)","RB",1,77.6,21.4,169.6,0.8,92.4,398.8,3,NA,NA,NA,NA,NA,206,NA,NA,196,158,NA,177
"Roy Helu (WAS) RB","Roy Helu (WAS)","RB",1,67,36.2,282.9,0.7,72.3,305.5,1,NA,NA,NA,NA,NA,233,NA,189,223,NA,NA,206
"Rueben Randle (NYG) WR","Rueben Randle (NYG)","WR",0.5,115.3,57,791,6.2,0,0,0,NA,NA,NA,NA,NA,124,117,150,120,103,138,125.6
"Russell Shepard (TB) WR","Russell Shepard (TB)","WR",0,5.4,4.5,54,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Russell Wilson (SEA) QB","Russell Wilson (SEA)","QB",3,278.3,NA,NA,NA,90.2,457.9,2.5,442.8,277.5,3557.8,25.5,10.4,94,102,66,98,118,84,93.6
"Ryan Broyles (DET) WR","Ryan Broyles (DET)","WR",0,32.8,20.6,260.6,1.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryan Fitzpatrick (HOU) QB","Ryan Fitzpatrick (HOU)","QB",2.5,167.4,NA,NA,NA,32.3,155.6,0.7,426.7,259.9,2881.7,16.7,14.7,NA,NA,NA,NA,NA,NA,NA
"Ryan Grant (WAS) WR","Ryan Grant (WAS)","WR",0,6.5,5.3,65.3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryan Griffin (HOU) TE","Ryan Griffin (HOU)","TE",0,36.6,23.3,263.5,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryan Mallett (NE) QB","Ryan Mallett (NE)","QB",0,0.5,NA,NA,NA,1,-1.5,0,2.5,1.5,15.5,0,0,NA,NA,NA,NA,NA,NA,NA
"Ryan Mathews (SD) RB","Ryan Mathews (SD)","RB",1.5,168.8,22.4,165.8,0.6,256.4,1120,6.6,NA,NA,NA,NA,NA,38,38,43,43,43,36,40.6
"Ryan Nassib (NYG) QB","Ryan Nassib (NYG)","QB",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Ryan Succop (KC) K","Ryan Succop (KC)","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227,186,NA,231,NA,198,205
"Ryan Tannehill (MIA) QB","Ryan Tannehill (MIA)","QB",3.5,244.7,NA,NA,NA,48.5,233.1,1.3,576.7,348.9,4030.2,23.1,16.5,162,NA,144,149,172,166,157.8
"Ryan Taylor (GB) TE","Ryan Taylor (GB)","TE",0,5,3.8,49.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryan Whalen (CIN) WR","Ryan Whalen (CIN)","WR",0,14.1,9,110.5,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryan Williams (DAL) RB","Ryan Williams (DAL)","RB",0.8,10.9,3.5,26.6,0,23.5,97.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sammy Watkins (BUF) WR","Sammy Watkins (BUF)","WR",1,121.5,58.4,847.6,6.1,3.5,21,0,NA,NA,NA,NA,NA,95,111,84,91,81,105,94.4
"San Francisco 49ers Defense DST","San Francisco 49ers Defense","DST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,66,85,102,112,61,85.2
"Santana Moss (WAS) WR","Santana Moss (WAS)","WR",0.5,36.6,24.4,285.9,1.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santonio Holmes WR","Santonio Holmes","WR",0,46.7,23.7,317.2,2.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scott Chandler (BUF) TE","Scott Chandler (BUF)","TE",1,69.1,43.3,495.3,3.6,NA,NA,NA,NA,NA,NA,NA,NA,255,NA,NA,243,NA,NA,243
"Scott Tolzien (GB) QB","Scott Tolzien (GB)","QB",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Sean McGrath (KC) TE","Sean McGrath (KC)","TE",0,16.9,11.3,123.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks Defense DST","Seattle Seahawks Defense","DST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,59,52,65,92,45,62.6
"Sebastian Janikowski (OAK) K","Sebastian Janikowski (OAK)","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,148,NA,213,185,147,173.3
"Seyi Ajirotutu (SD) WR","Seyi Ajirotutu (SD)","WR",0,12.9,6,84,0.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shane Vereen (NE) RB","Shane Vereen (NE)","RB",1,158.9,66.1,605.2,4.4,128.7,583.9,2.6,NA,NA,NA,NA,NA,61,89,70,41,48,73,64.2
"Shaun Draughn (CHI) RB","Shaun Draughn (CHI)","RB",0,29.3,9.1,67.4,0,42.2,177.7,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shaun Hill (STL) QB","Shaun Hill (STL)","QB",0.5,121.3,NA,NA,NA,21.9,69.3,0.7,289.6,173.8,2024.8,12.6,10.1,NA,NA,NA,NA,NA,NA,NA
"Shaun Suisham (PIT) K","Shaun Suisham (PIT)","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246,NA,NA,225,NA,NA,225
"Shayne Graham (NO) K","Shayne Graham (NO)","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,192,192,172,190,174,184
"Shonn Greene (TEN) RB","Shonn Greene (TEN)","RB",1,87.6,10.4,74.9,0,129.2,521.5,5,NA,NA,NA,NA,NA,173,NA,139,193,163,181,169
"Spencer Ware (SEA) RB","Spencer Ware (SEA)","RB",0,0.8,0,0,0,2.3,7.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Louis Rams Defense DST","St. Louis Rams Defense","DST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,68,121,101,132,94,103.2
"Stanley Havili (IND) RB","Stanley Havili (IND)","RB",0,10.6,11,81.5,0,6.5,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stedman Bailey (STL) WR","Stedman Bailey (STL)","WR",0,33.4,21.5,304,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stepfan Taylor (ARI) RB","Stepfan Taylor (ARI)","RB",1,71.3,11.8,87.5,0,101.7,435.3,3.5,NA,NA,NA,NA,NA,239,NA,NA,197,NA,NA,197
"Stephen Gostkowski (NE) K","Stephen Gostkowski (NE)","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,72,97,99,151,67,97.2
"Stephen Hill (NYJ) WR","Stephen Hill (NYJ)","WR",0,37.8,20.5,282.1,1.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stevan Ridley (NE) RB","Stevan Ridley (NE)","RB",2,149.1,8.8,57.3,0,227.6,993.7,8,NA,NA,NA,NA,NA,86,104,76,80,74,109,88.6
"Steve Johnson (SF) WR","Steve Johnson (SF)","WR",1,67.2,41.2,529.9,2.7,0,0,0,NA,NA,NA,NA,NA,211,167,190,NA,NA,NA,178.5
"Steve Smith (BAL) WR","Steve Smith (BAL)","WR",1.5,93.5,54.4,694.9,4.5,0,0,0,NA,NA,NA,NA,NA,150,NA,113,152,141,165,142.8
"Steven Hauschka (SEA) K","Steven Hauschka (SEA)","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,90,129,133,164,78,118.8
"Steven Jackson (ATL) RB","Steven Jackson (ATL)","RB",1,130.3,29.5,196.9,1,181.6,735.6,5.5,NA,NA,NA,NA,NA,88,114,74,93,80,96,91.4
"Storm Johnson (JAC) RB","Storm Johnson (JAC)","RB",0,20.6,6.5,47.6,0,31.4,135.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T.J. Graham (BUF) WR","T.J. Graham (BUF)","WR",0,21.4,11.3,158.4,0.8,1,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tampa Bay Buccaneers Defense DST","Tampa Bay Buccaneers Defense","DST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,NA,176,161,180,168,171.3
"Tandon Doss (JAC) WR","Tandon Doss (JAC)","WR",0,10.9,8.3,108.8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tarvaris Jackson (SEA) QB","Tarvaris Jackson (SEA)","QB",0,3.6,NA,NA,NA,4,9,0,10,6,67,0,0,NA,NA,NA,NA,NA,NA,NA
"Tavarres King (CAR) WR","Tavarres King (CAR)","WR",0,21.9,11.3,174,0.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tavon Austin (STL) WR","Tavon Austin (STL)","WR",1.5,95.7,45.7,593.1,3.4,12.5,130,1,NA,NA,NA,NA,NA,141,198,153,131,117,122,144.2
"Taylor Thompson (TEN) TE","Taylor Thompson (TEN)","TE",0,6.8,6,67.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taylor Yates (ATL) QB","Taylor Yates (ATL)","QB",0,0.5,NA,NA,NA,0.5,1,0,1.5,1,11,0,0,NA,NA,NA,NA,NA,NA,NA
"Ted Bolser (WAS) TE","Ted Bolser (WAS)","TE",0,1.2,2.3,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ted Ginn Jr. (ARI) WR","Ted Ginn Jr. (ARI)","WR",0,52.1,23.8,358.3,2.3,4,24.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Teddy Bridgewater (MIN) QB","Teddy Bridgewater (MIN)","QB",2,158.8,NA,NA,NA,37,140.8,1.4,334.1,202.3,2439.1,15.2,9,220,NA,NA,200,NA,177,188.5
"Terrance West (CLE) RB","Terrance West (CLE)","RB",0,120.3,21.2,168.6,0.3,164.2,710.4,5.1,NA,NA,NA,NA,NA,123,134,152,110,97,134,125.4
"Terrance Williams (DAL) WR","Terrance Williams (DAL)","WR",0.5,129.8,60.4,914,6.4,2,9.5,0,NA,NA,NA,NA,NA,89,71,96,87,86,119,91.8
"Terrelle Pryor (SEA) QB","Terrelle Pryor (SEA)","QB",0,19,NA,NA,NA,11,55,1,12,7,87,1,0,NA,NA,NA,NA,NA,NA,NA
"Terrence Toliver (CHI) WR","Terrence Toliver (CHI)","WR",0,6.5,5.3,65.3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tevin Reese (SD) WR","Tevin Reese (SD)","WR",0,19.2,11.3,147,0.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thaddeus Lewis (BUF) QB","Thaddeus Lewis (BUF)","QB",0,8.9,NA,NA,NA,1,3,0,24,14,165,1,1,NA,NA,NA,NA,NA,NA,NA
"Theo Riddick (DET) RB","Theo Riddick (DET)","RB",0,26.6,9.6,63.1,0,35,142.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tim Wright (TB) TE","Tim Wright (TB)","TE",0,46.3,25,288.9,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiquan Underwood (CAR) WR","Tiquan Underwood (CAR)","WR",0,34.8,16.2,237.7,1.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
