"","Player","POS","FL","FPTS","REC.RECEIVING","YDS.RECEIVING","TDS.RECEIVING","ATT.RUSHING","YDS.RUSHING","TDS.RUSHING","ATT.PASSING","CMP.PASSING","YDS.PASSING","TDS.PASSING","INTS.PASSING","Rank.ADP","Yahoo.ADP","ESPN.ADP","CBS.ADP","FFC.ADP","NFL.ADP","AVG.ADP"
"Josh Huff (PHI) WR","Josh Huff (PHI)","WR",0,30.8,15,247.5,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Josh McCown (TB) QB","Josh McCown (TB)","QB",3,211.6,NA,NA,NA,27.4,108.9,1.3,451.3,273.6,3356.6,22.6,12.9,182,NA,151,171,175,NA,165.7
"Josh Morgan (CHI) WR","Josh Morgan (CHI)","WR",0,20.6,14.6,183.4,0.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Julian Edelman (NE) WR","Julian Edelman (NE)","WR",1,136,91.2,1009.2,5.9,2,17,0,NA,NA,NA,NA,NA,70,67,65,68,67,86,70.6
"Julio Jones (ATL) WR","Julio Jones (ATL)","WR",0.5,200.9,92.3,1377.7,10.1,4,35.5,0,NA,NA,NA,NA,NA,19,20,19,18,16,21,18.8
"Julius Thomas (DEN) TE","Julius Thomas (DEN)","TE",0.5,158.2,76.2,937.8,10.9,NA,NA,NA,NA,NA,NA,NA,NA,29,30,26,29,31,34,30
"Junior Hemingway (KC) WR","Junior Hemingway (KC)","WR",0,54.6,29.3,380.8,2.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juron Criner (OAK) WR","Juron Criner (OAK)","WR",0,24.4,14,183.5,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Justin Brown (PIT) WR","Justin Brown (PIT)","WR",0,30.8,16.5,218.3,1.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Justin Forsett (BAL) RB","Justin Forsett (BAL)","RB",0,26.5,4.9,30,0,49.1,212.6,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Justin Hunter (TEN) WR","Justin Hunter (TEN)","WR",0,106.5,46.1,753.2,5.2,0,0,0,NA,NA,NA,NA,NA,135,147,137,132,119,157,138.4
"Justin Tucker (BAL) K","Justin Tucker (BAL)","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,84,116,139,167,82,117.6
"Ka'Deem Carey (CHI) RB","Ka'Deem Carey (CHI)","RB",0.5,46.4,14.8,116.7,0.5,54.1,237,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kamar Aiken (BAL) WR","Kamar Aiken (BAL)","WR",0,5.5,3.8,54.8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kansas City Chiefs Defense DST","Kansas City Chiefs Defense","DST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,74,114,125,152,69,106.8
"Kassim Osgood (SF) WR","Kassim Osgood (SF)","WR",0,3.2,2.3,32.3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kealoha Pilares (CAR) WR","Kealoha Pilares (CAR)","WR",0,13,8.3,129.8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Keenan Allen (SD) WR","Keenan Allen (SD)","WR",1,155.5,74.9,1077.4,8.3,0,0,0,NA,NA,NA,NA,NA,35,28,40,44,33,43,37.6
"Kellen Clemens (SD) QB","Kellen Clemens (SD)","QB",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Kellen Davis (NYG) TE","Kellen Davis (NYG)","TE",0,13.9,9.1,97.3,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelvin Benjamin (CAR) WR","Kelvin Benjamin (CAR)","WR",1,114.6,57,811.9,5.9,0,0,0,NA,NA,NA,NA,NA,127,151,142,109,96,150,129.6
"Kenbrell Thompkins (NE) WR","Kenbrell Thompkins (NE)","WR",0,61.7,31.8,448.8,2.8,0,0,0,NA,NA,NA,NA,NA,196,156,NA,NA,174,NA,165
"Kendall Wright (TEN) WR","Kendall Wright (TEN)","WR",1,132.6,87.9,1053.6,4.8,0.5,4,0,NA,NA,NA,NA,NA,84,83,91,86,91,90,88.2
"Kenjon Barner (CAR) RB","Kenjon Barner (CAR)","RB",0.5,12.1,4.5,26.3,0,23.3,105.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kenny Britt (STL) WR","Kenny Britt (STL)","WR",0,87.5,44.4,617,4.3,0,0,0,NA,NA,NA,NA,NA,183,194,NA,181,134,NA,169.7
"Kenny Stills (NO) WR","Kenny Stills (NO)","WR",0.5,102,42.8,699.9,5.3,1.5,12,0,NA,NA,NA,NA,NA,160,199,175,146,129,180,165.8
"Keshawn Martin (HOU) WR","Keshawn Martin (HOU)","WR",0,33,19.9,270.3,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kevin Brock (CIN) TE","Kevin Brock (CIN)","TE",0,5.6,5,55.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kevin Dorsey (GB) WR","Kevin Dorsey (GB)","WR",0,8.4,6,84,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kevin Norwood (SEA) WR","Kevin Norwood (SEA)","WR",0,31.2,17.5,252,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kevin Ogletree (DET) WR","Kevin Ogletree (DET)","WR",0,46.2,24,372,1.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Khiry Robinson (NO) RB","Khiry Robinson (NO)","RB",0,107.4,11.6,88.4,0,144,662,5.4,NA,NA,NA,NA,NA,134,152,108,135,126,161,136.4
