"Team","Year","Lg","Rec","WinPct","PDpG","OffPass","OffRun","DefPass","DefRun","TotOff","TotDef","ST","Total","Link"
"ATL","1998","NFL","14-2-0",0.875,9.6,14.9,2,-3.6,-15.7,8.2,-8.2,1.6,18,"http://www.pro-football-reference.com/teams/atl/1998.htm"
"ATL","1999","NFL","5-11-0",0.313,-5.9,-2.2,-13.3,9.8,6.1,-6.7,8,0.1,-14.5,"http://www.pro-football-reference.com/teams/atl/1999.htm"
"ATL","2000","NFL","4-12-0",0.25,-10.1,-29.5,-22.9,4.2,5.9,-27,5,3.6,-28.4,"http://www.pro-football-reference.com/teams/atl/2000.htm"
"ATL","2001","NFL","7-9-0",0.438,-5.4,-7.6,-6.5,15.2,12.8,-7.1,14.2,6.7,-14.6,"http://www.pro-football-reference.com/teams/atl/2001.htm"
"ATL","2002","NFL","9-6-1",0.594,5.5,13.1,9.8,-10.2,8.2,11.5,-2.1,4.3,17.9,"http://www.pro-football-reference.com/teams/atl/2002.htm"
"ATL","2003","NFL","5-11-0",0.313,-7.7,-30.7,8.5,12.7,12.4,-12.4,12.5,2.3,-22.6,"http://www.pro-football-reference.com/teams/atl/2003.htm"
"ATL","2004","NFL","11-5-0",0.688,0.2,-66.2,16.1,-2.8,5.9,-21.7,1,4,-18.6,"http://www.pro-football-reference.com/teams/atl/2004.htm"
"ATL","2005","NFL","8-8-0",0.5,0.6,-4.7,20.6,3.1,25.3,8.5,12.8,2.9,-1.4,"http://www.pro-football-reference.com/teams/atl/2005.htm"
"ATL","2006","NFL","7-9-0",0.438,-2.3,-24.6,20.2,12.9,-0.4,-0.5,7,-3.9,-11.4,"http://www.pro-football-reference.com/teams/atl/2006.htm"
"ATL","2007","NFL","4-12-0",0.25,-9.7,-10.6,-1.9,12.9,2.3,-7.2,8,-0.6,-15.7,"http://www.pro-football-reference.com/teams/atl/2007.htm"
"ATL","2008","NFL","11-5-0",0.688,4.1,23.1,3.2,6.5,13.6,12.1,9.5,3.8,6.4,"http://www.pro-football-reference.com/teams/atl/2008.htm"
"ATL","2009","NFL","9-7-0",0.563,2.4,9.2,1.8,20.2,-7.9,6,8,-3.7,-5.7,"http://www.pro-football-reference.com/teams/atl/2009.htm"
"ATL","2010","NFL","13-3-0",0.813,7.9,23.8,0.5,-0.6,8.9,13.2,3,4.7,14.9,"http://www.pro-football-reference.com/teams/atl/2010.htm"
"ATL","2011","NFL","10-6-0",0.625,3.3,15.4,-2.8,-3.9,-6.7,7.7,-5,2.3,15,"http://www.pro-football-reference.com/teams/atl/2011.htm"
"ATL","2012","NFL","13-3-0",0.813,7.5,22.2,-7.6,-3.5,13.1,11.2,3.4,-0.1,7.7,"http://www.pro-football-reference.com/teams/atl/2012.htm"
"ATL","2013","NFL","4-12-0",0.25,-5.6,12,-0.8,26.4,9.2,8,18.6,1.3,-9.3,"http://www.pro-football-reference.com/teams/atl/2013.htm"
"BCL","1950","NFL","1-11-0",0.083,-20.8,-2.4,-18,24.9,29.5,-10.1,30.2,-1.2,-41.5,"http://www.pro-football-reference.com/teams/bcl/1950.htm"
"BUF","1960","AFL","5-8-1",0.393,-0.5,-30.2,-10.6,-28.7,-1.6,-21.2,-15.6,-2.1,-7.8,"http://www.pro-football-reference.com/teams/buf/1960.htm"
"BUF","1961","AFL","6-8-0",0.429,-3.4,-17.2,-5.7,6.2,-7.8,-11.8,0.1,-0.1,-12.1,"http://www.pro-football-reference.com/teams/buf/1961.htm"
"BUF","1962","AFL","7-6-1",0.536,2.6,-12.5,13.1,-3.9,6.6,2.2,0.7,1,2.4,"http://www.pro-football-reference.com/teams/buf/1962.htm"
"BUF","1963","AFL","7-6-1",0.536,0.9,10.3,4.7,6.2,1.1,7.6,4.3,-0.2,3.1,"http://www.pro-football-reference.com/teams/buf/1963.htm"
"BUF","1964","AFL","12-2-0",0.857,11.3,2.7,6.2,-8.2,-20.4,4.6,-12.5,2.2,19.3,"http://www.pro-football-reference.com/teams/buf/1964.htm"
"BUF","1965","AFL","10-3-1",0.75,6.2,-7.9,-11.3,0.9,-19.6,-9.4,-7.4,1.1,-0.9,"http://www.pro-football-reference.com/teams/buf/1965.htm"
"BUF","1966","AFL","9-4-1",0.679,7.4,0.3,8.4,-4.5,-22.3,4.2,-11.8,-1.4,14.6,"http://www.pro-football-reference.com/teams/buf/1966.htm"
"BUF","1967","AFL","4-10-0",0.286,-3.4,-31.8,-16.3,-22.7,-8.9,-25,-15.6,-0.6,-10,"http://www.pro-football-reference.com/teams/buf/1967.htm"
"BUF","1968","AFL","1-12-1",0.107,-12,-57.6,-6.5,-9,-2.5,-33.4,-5.3,-2,-30.1,"http://www.pro-football-reference.com/teams/buf/1968.htm"
"BUF","1969","AFL","4-10-0",0.286,-9.2,-25.3,-2.6,6.2,6.2,-15.2,6.2,0.4,-21,"http://www.pro-football-reference.com/teams/buf/1969.htm"
"BUF","1970","NFL","3-10-1",0.25,-9.5,-21.6,0.1,15.6,-1.6,-11.9,5.8,-2,-19.7,"http://www.pro-football-reference.com/teams/buf/1970.htm"
"BUF","1971","NFL","1-13-0",0.071,-15,-36.6,-2.1,21.8,12.4,-22.3,15.9,-2.4,-40.5,"http://www.pro-football-reference.com/teams/buf/1971.htm"
"BUF","1972","NFL","4-9-1",0.321,-8.6,-37.2,-6.3,-19.5,4.1,-19.2,-4.9,0.1,-14.1,"http://www.pro-football-reference.com/teams/buf/1972.htm"
"BUF","1973","NFL","9-5-0",0.643,2.1,-34.2,17,7.4,0.2,2.3,3.6,4.1,2.8,"http://www.pro-football-reference.com/teams/buf/1973.htm"
"BUF","1974","NFL","9-5-0",0.643,1.4,-14,-6.2,-17.5,-1.1,-8.9,-7.9,-2.2,-3.2,"http://www.pro-football-reference.com/teams/buf/1974.htm"
