"year","rd","pct"
2002,"F",0.144656093089982
2014,"G",0.14416552461811
2010,"H",0.139671927768971
2006,"C",0.139634099469598
2010,"G",0.137879936591081
2014,"D",0.136611291239095
2002,"A",0.136168008288834
2014,"B",0.134004077948992
2006,"E",0.133984164808978
2002,"G",0.130429584761298
2006,"F",0.129986932123914
2002,"B",0.12967243165697
2010,"D",0.128023985112689
2006,"B",0.127834576062726
2010,"C",0.127713832793439
2014,"C",0.124043186148344
2006,"A",0.123798908447998
2010,"E",0.122923702529464
2010,"B",0.122510166103798
2002,"C",0.122260301267235
2014,"E",0.121970785840826
2014,"A",0.118360798208377
2002,"E",0.117318881007412
2006,"H",0.116880621108463
2006,"D",0.116650011530479
2002,"D",0.111899258786961
2010,"A",0.111310221241988
2006,"G",0.111230686447844
2014,"F",0.110940268075008
2010,"F",0.109966227858571
2014,"H",0.109904067921249
2002,"H",0.107595441141309
