"year","rd","result","team1","team2","score1","score2","pk1","pk2","et"
2006,"E","Ghana  -  United States  2-1    (June 22, Frankenstadion) ","Ghana","United States",2,1,FALSE,FALSE,FALSE
2006,"E","Czech Republic  -  Italy  0-2    (June 22, HSH Nordbank Arena) ","Czech Republic","Italy",0,2,FALSE,FALSE,FALSE
2006,"F","Australia  -  Japan  3-1    (June 12, Fritz Walter Stadion) ","Australia","Japan",3,1,FALSE,FALSE,FALSE
2006,"F","Brazil  -  Croatia  1-0    (June 13, Olympiastadion) ","Brazil","Croatia",1,0,FALSE,FALSE,FALSE
2006,"F","Brazil  -  Australia  2-0    (June 18, Allianz Arena) ","Brazil","Australia",2,0,FALSE,FALSE,FALSE
2006,"F","Japan  -  Croatia  0-0    (June 18, Frankenstadion) ","Japan","Croatia",0,0,FALSE,FALSE,FALSE
2006,"F","Japan  -  Brazil  1-4    (June 22, Westfalenstadion) ","Japan","Brazil",1,4,FALSE,FALSE,FALSE
2006,"F","Croatia  -  Australia  2-2    (June 22, Gottlieb-Daimler-Stadion) ","Croatia","Australia",2,2,FALSE,FALSE,FALSE
2006,"G","France  -  Switzerland  0-0    (June 13, Gottlieb-Daimler-Stadion) ","France","Switzerland",0,0,FALSE,FALSE,FALSE
2006,"G","Korea Republic  -  Togo  2-1    (June 13, Waldstadion) ","Korea Republic","Togo",2,1,FALSE,FALSE,FALSE
2006,"G","France  -  Korea Republic  1-1    (June 18, Zentralstadion) ","France","Korea Republic",1,1,FALSE,FALSE,FALSE
2006,"G","Togo  -  Switzerland  0-2    (June 19, Westfalenstadion) ","Togo","Switzerland",0,2,FALSE,FALSE,FALSE
2006,"G","Togo  -  France  0-2    (June 23, RheinEnergie Stadion) ","Togo","France",0,2,FALSE,FALSE,FALSE
2006,"G","Switzerland  -  Korea Republic  2-0    (June 23, AWD Arena) ","Switzerland","Korea Republic",2,0,FALSE,FALSE,FALSE
2006,"H","Tunisia  -  Saudi Arabia  2-2    (June 14, Allianz Arena) ","Tunisia","Saudi Arabia",2,2,FALSE,FALSE,FALSE
2006,"H","Spain  -  Ukraine  4-0    (June 14, Zentralstadion) ","Spain","Ukraine",4,0,FALSE,FALSE,FALSE
2006,"H","Spain  -  Tunisia  3-1    (June 19, Gottlieb-Daimler-Stadion) ","Spain","Tunisia",3,1,FALSE,FALSE,FALSE
2006,"H","Saudi Arabia  -  Ukraine  0-4    (June 19, AOL Arena) ","Saudi Arabia","Ukraine",0,4,FALSE,FALSE,FALSE
2006,"H","Saudi Arabia  -  Spain  0-1    (June 23, Fritz Walter Stadion) ","Saudi Arabia","Spain",0,1,FALSE,FALSE,FALSE
2006,"H","Ukraine  -  Tunisia  1-0    (June 23, Olympiastadion) ","Ukraine","Tunisia",1,0,FALSE,FALSE,FALSE
2006,"R16","Germany  -  Sweden  2-0    (June 24, Allianz Arena) ","Germany","Sweden",2,0,FALSE,FALSE,FALSE
2006,"R16","Argentina  -  Mexico  2-1 A.E.T    (June 24, Zentralstadion) ","Argentina","Mexico",2,1,FALSE,FALSE,TRUE
2006,"R16","England  -  Ecuador  1-0    (June 25, Gottlieb-Daimler-Stadion) ","England","Ecuador",1,0,FALSE,FALSE,FALSE
2006,"R16","Portugal  -  Netherlands  1-0    (June 25, Frankenstadion) ","Portugal","Netherlands",1,0,FALSE,FALSE,FALSE
2006,"R16","Italy  -  Australia  1-0    (June 26, Fritz Walter Stadion) ","Italy","Australia",1,0,FALSE,FALSE,FALSE
2006,"R16","Switzerland  -  Ukraine*  0-0 A.E.T    (June 26, RheinEnergie Stadion) ","Switzerland","Ukraine",0,0,FALSE,TRUE,TRUE
2006,"R16","Brazil  -  Ghana  3-0    (June 27, Westfalenstadion) ","Brazil","Ghana",3,0,FALSE,FALSE,FALSE
