"","id","und1","und2","pivot","flip","cega.start","entry.level","entry.risk","entry.sd","entry.fast.signal","entry.slow.signal","start.date","end.date","exp.n","past.n","cega","realized","implied","cor.mark","pnl"
"1","CHFUSD/GBPUSD","USDCHF","GBPUSD","GBPCHF",TRUE,-1.30104112470743,0.584007509639902,-1.05489820922224,0.15,-1.51178122541041,-1.38703812270167,2010-05-25,2010-08-25,66,65,-0.0197127443137489,0.517168736862681,0.532666078863603,0.517638353286952,0.0863490018273255
"2","JPYUSD/CADUSD","USDJPY","USDCAD","CADJPY",FALSE,-1.04327648904734,-0.0693073536576157,-1.16337812875656,0.206297137987356,-2.86315522948904,-3.02038410992654,2010-05-25,2010-08-25,66,65,-0.0158072195310204,-0.508038190327685,-0.214969948771619,-0.499157334522955,0.44845237885426
"3","JPYUSD/AUDUSD","USDJPY","AUDUSD","AUDJPY",TRUE,-0.638953964729056,-0.230282022870259,-1.00329855828951,0.290490776377396,-1.37302542177679,-1.0978359864517,2010-05-25,2010-08-25,66,65,-0.00968112067771296,-0.443994050024551,-0.0825485655983747,-0.433041156557092,0.129553752354231
"4","EURUSD/AUDUSD","EURUSD","AUDUSD","EURAUD",FALSE,-1.6931711011893,0.543573717074078,-1.37284143339673,0.15,-2.83129891329483,-1.93327525595574,2010-05-25,2010-08-25,66,65,-0.0256541075937772,0.616323217276524,0.597035829030279,0.615738750966032,-0.122187749902202
"5","JPYCHF/CADCHF","CHFJPY","CADCHF","CADJPY",TRUE,-0.824693197123505,0.191369673925918,-0.987593705981164,0.221542794634153,-2.21293258212158,-2.56961193078357,2010-05-25,2010-08-25,66,65,-0.0124953514715682,-0.0457031058872939,0.118478622532165,-0.0407279019957952,0.191409291931493
"6","USDCHF/GBPCHF","USDCHF","GBPCHF","GBPUSD",FALSE,1.32656303059324,0.217105895359144,1.09495759718902,0.152700739285175,2.09678735483746,2.13930906821543,2010-05-25,2010-08-25,66,65,0.0200994398574732,0.523850562253198,0.521751351934554,0.5237869498193,0.406831749030193
"7","EURCHF/AUDCHF","EURCHF","AUDCHF","EURAUD",FALSE,-1.15411424549224,0.30452863861495,-0.935768307155872,0.15,-1.90316536170286,-1.71313935087846,2010-05-25,2010-08-25,66,65,-0.0174865794771552,0.577416141682448,0.591677767786849,0.57784831217046,-0.315442128823703
"8","USDGBP/CADGBP","GBPUSD","GBPCAD","USDCAD",FALSE,-1.34540743192876,0.462622541677098,-1.09087089075305,0.15,-1.59012456318366,-1.09822911601775,2010-05-25,2010-08-25,66,65,-0.0203849610898296,0.391611829886507,0.51528335800143,0.395359451950595,0.0904962608125281
"9","USDGBP/EURGBP","GBPUSD","EURGBP","EURUSD",TRUE,-1.36698240733536,0.382488207753846,-1.10836411405569,0.15,-1.64291961546699,-0.810810413595879,2010-05-25,2010-08-25,66,65,-0.0207118546565963,0.190309609477939,0.290364229773935,0.193341567668727,0.25856012940295
"10","JPYGBP/CADGBP","GBPJPY","GBPCAD","CADJPY",FALSE,-1.13908148140842,0.349493035494348,-1.16337812875656,0.188946056390846,-3.15739295681199,-2.77532814337241,2010-05-25,2010-08-25,66,65,-0.01725881032437,-0.0700808432041277,0.145691941929501,-0.0635422739576541,0.470480872164572
"11","AUDGBP/EURGBP","GBPAUD","EURGBP","EURAUD",TRUE,-0.885560583444532,0.348432469038792,-0.81936808580418,0.171171909305365,-1.72567231191438,-0.909029040123803,2010-05-25,2010-08-25,66,65,-0.0134175845976444,0.439626228184397,0.416249463536335,0.43891784137688,-0.0801302791209136
"12","CADGBP/EURGBP","GBPCAD","EURGBP","EURCAD",TRUE,-1.20373240933812,0.376525018420267,-1.05490555516379,0.162127002805059,-1.59030079319043,-0.452344648249373,2010-05-25,2010-08-25,66,65,-0.0182383698384563,0.381759188160346,0.298786715036067,0.379244870792944,-0.00327397444960557
"13","USDEUR/GBPEUR","EURUSD","EURGBP","GBPUSD",FALSE,1.30010151008332,0.377599111727797,1.05413635952702,0.15,2.05024413596202,1.85189622721899,2010-05-25,2010-08-25,66,65,0.0196985077285352,0.556360681637789,0.507386461075299,0.554876614348017,0.230478748860348
"14","JPYEUR/CADEUR","EURJPY","EURCAD","CADJPY",FALSE,-0.720383305207352,0.296257616424351,-0.68565003650571,0.176080228173869,-1.54930656392917,-2.41813868321876,2010-05-25,2010-08-25,66,65,-0.0109148985637477,0.00347139422734918,0.178131408613176,0.0087641219360106,0.207105513785123
"15","USDAUD/GBPAUD","AUDUSD","GBPAUD","GBPUSD",TRUE,1.10718288582782,0.674964512297104,0.897715853373908,0.15,1.78762635271123,1.45774774333527,2010-05-25,2010-08-25,66,65,0.0167754982701185,0.810360699694448,0.644757127052932,0.805342409614402,0.144352176599929
"16","CHFCAD/JPYCAD","CADCHF","CADJPY","CHFJPY",FALSE,2.46666666666667,0.491823249446875,2,0.15,2.69975235559045,2.91263134593321,2010-05-25,2010-08-25,66,65,0.0373737373737373,0.795278225743027,0.712262828135303,0.792762607633702,0.742317083527506
"17","JPYCAD/GBPCAD","CADJPY","GBPCAD","GBPJPY",TRUE,2.46666666666667,0.32273748598786,2,0.15,3.3020627363489,3.10149480956555,2010-05-25,2010-08-25,66,65,0.0373737373737373,0.730186549792939,0.556593038523636,0.724926140360536,0.9920653474526
"18","JPYCAD/EURCAD","CADJPY","EURCAD","EURJPY",TRUE,1.85067967405492,0.382585714542612,1.50055108707156,0.15,2.01711263665004,2.46145108073349,2010-05-25,2010-08-25,66,65,0.0280406011220442,0.658973013291683,0.581163396364193,0.656615146112063,0.507140699098405
"19","USDCAD/GBPCAD","USDCAD","GBPCAD","GBPUSD",FALSE,1.1756012342224,0.506402162069882,0.953190189910053,0.15,1.87822121358309,1.62295407871642,2010-05-25,2010-08-25,66,65,0.0178121399124606,0.689005976421675,0.551446656248876,0.684837512174014,0.209768817811323
"20","GBPCAD/AUDCAD","GBPCAD","AUDCAD","GBPAUD",FALSE,-1.27907998295809,0.197372782117605,-1.17008256089971,0.16923513513661,-1.73108666542008,-0.550450098311537,2010-05-25,2010-08-25,66,65,-0.0193799997417893,0.13871512381478,0.431217915522848,0.147578844775631,0.0636904285267892
